Номер,Утверждение A,Утверждение B,Константы,Тип,Примечание,Полюс_+,Полюс_−
295,Сознательно развиваю саморегуляция аффекта как навык.,"Стараюсь умерять аффективная лабильность, если это мешает.",C28,Основная,FBM 3.0: автогенерировано (10 пар на константу),Саморегуляция аффекта,Аффективная лабильность
316,"Даже когда это уместно, редко выбираю саморегуляция аффекта; чаще полагаюсь на аффективная лабильность.","Даже под давлением стараюсь придерживаться саморегуляция аффекта, а не аффективная лабильность.",C28,Зеркальная,"Альтернативная зеркальная формулировка (не swap), контроль консистентности.",Саморегуляция аффекта,Аффективная лабильность
71,Мне удобнее планировать покупки заранее.,Мне удобнее покупать по мере необходимости.,—,Буфер,маскировка структуры,,
72,Мне приятнее завтракать дома.,Мне приятнее завтракать вне дома.,—,Буфер,маскировка структуры,,
73,В путешествиях я беру минимум вещей.,В путешествиях я беру всё на всякий случай.,—,Буфер,маскировка структуры,,
74,Я чаще слушаю подкасты.,Я чаще слушаю музыку.,—,Буфер,маскировка структуры,,
75,Для заметок выбираю бумагу.,Для заметок выбираю телефон.,—,Буфер,маскировка структуры,,
76,Предпочитаю чай.,Предпочитаю кофе.,—,Буфер,маскировка структуры,,
77,Люблю ходить пешком.,Предпочитаю транспорт.,—,Буфер,маскировка структуры,,
78,Мне комфортнее ранние встречи.,Мне комфортнее поздние встречи.,—,Буфер,маскировка структуры,,
79,На кухне люблю экспериментировать.,На кухне люблю проверенные рецепты.,—,Буфер,маскировка структуры,,
80,Смотрю фильмы до титров.,"Часто выключаю на середине, если не зашло.",—,Буфер,маскировка структуры,,
